lam,theta_starter,mode,feature,true,mean_beta,bias,bias_se,bias_in_se,mean_z,sd_z,pred_bias,m,v_over_n,tau2_x
8000.0,0.13681573111373557,crossfit,tov,-1.0,-0.9796139113045014,0.020386088695498628,0.0317486935059525,0.09894802113373852,0.09429393304793908,0.9831508280511508,0.0,-1.0,0.07942902472483779,1.6570186457186484
80000.0,0.0323729067805526,full,fg3m,1.6,1.7690071508819678,0.16900715088196772,0.03473664201878695,0.8083870255364908,0.8001499469097585,1.0737715959764325,0.06141522508297995,3.0,0.06954800621802508,1.5853920355038893
80000.0,0.0323729067805526,full,fg2m,0.9,0.9359803267898738,0.03598032678987373,0.015843443038037218,0.4107829421289042,0.3764584274020217,1.1093946475335201,0.02569569273986227,2.0,0.1610719392316637,6.895285328500538
80000.0,0.0323729067805526,full,ftm,0.5,0.5453260763378303,0.04532607633783026,0.03215971868862841,0.33219204564743815,0.3528484638019891,1.4718421493515514,0.014160400106916484,1.0,0.10765600822016833,3.801305309430663
80000.0,0.0323729067805526,full,fg3_miss,-0.7,-0.724755298010624,-0.02475529801062404,0.018917688453809207,-0.20275824742092804,-0.2128545885728684,0.995006681170669,-0.0011874606162869277,-0.75,0.11526948782093671,4.85361308998075
80000.0,0.0323729067805526,full,fg2_miss,-0.6,-0.6092938956032813,-0.00929389560328131,0.016560331546885854,-0.09852624662371064,-0.09939508175963102,1.1079328382235942,-0.0025959491012653695,-0.75,0.15760440252828556,9.106750347192644
80000.0,0.0323729067805526,full,orb,0.5,0.6024165624774422,0.10241656247744224,0.045330158324158286,0.4053448375425173,0.39525350001717807,1.134122722727055,0.016693375859316024,0.75,0.05632670444918529,0.8435487363952092
80000.0,0.0323729067805526,full,tov,-1.0,-1.0197057482100342,-0.019705748210034235,0.033540297930887475,-0.11200355887581102,-0.12522852949344174,1.2344010802356136,0.0,-1.0,0.07942902472483779,1.6570186457186484
80000.0,0.0323729067805526,loo,fg3m,1.6,1.5535518466796063,-0.04644815332039376,0.03521219701521828,-0.22189723995235178,-0.22744311745751117,1.0931259922043663,-0.008953188281628157,3.0,0.06954800621802508,1.5853920355038893
80000.0,0.0323729067805526,loo,fg2m,0.9,0.8744862503408359,-0.025513749659164087,0.015453583458158,-0.29106638317691114,-0.32174166503754487,1.1028732560980505,-0.0031783819940159135,2.0,0.1610719392316637,6.895285328500538
80000.0,0.0323729067805526,loo,ftm,0.5,0.49678097298223844,-0.0032190270177615554,0.03171309195593987,-0.023562246137906206,-0.0010265094737294423,1.4563491358128566,-0.001926699439547321,1.0,0.10765600822016833,3.801305309430663
80000.0,0.0323729067805526,loo,fg3_miss,-0.7,-0.6925372336326403,0.007462766367359652,0.019101337744413638,0.061057383936180425,0.048550211625307926,0.9957392019833355,0.0012117664507765476,-0.75,0.11526948782093671,4.85361308998075
80000.0,0.0323729067805526,loo,fg2_miss,-0.6,-0.5841803885448404,0.015819611455159532,0.015998596747576477,0.16753385895276818,0.16801231813522607,1.0666330653356006,0.000883028311477297,-0.75,0.15760440252828556,9.106750347192644
80000.0,0.0323729067805526,loo,orb,0.5,0.5211833268485087,0.021183326848508655,0.04626054128238178,0.08369425288616769,0.07939976817762864,1.1546184355893394,-0.0034070136792872744,0.75,0.05632670444918529,0.8435487363952092
80000.0,0.0323729067805526,loo,tov,-1.0,-0.9621327438466745,0.037867256153325535,0.03183041761842121,0.21493924721259408,0.20235671280449585,1.16240488860319,0.003261071233129093,-1.0,0.07942902472483779,1.6570186457186484
80000.0,0.016679465114714187,crossfit,fg3m,1.6,1.6099421577990618,0.009942157799061713,0.03765232437034834,0.04704954587088476,0.046781363595122215,1.1607045585046747,0.0,3.0,0.06954800621802508,1.5853920355038893
80000.0,0.016679465114714187,crossfit,fg2m,0.9,0.8947766199714519,-0.0052233800285481635,0.01600311337246261,-0.059834541735166946,-0.09307011284454383,1.1467770245195197,0.0,2.0,0.1610719392316637,6.895285328500538
80000.0,0.016679465114714187,crossfit,ftm,0.5,0.5156526256509621,0.01565262565096215,0.030767051555211384,0.11437021062868206,0.12520397192445035,1.4226782686295214,0.0,1.0,0.10765600822016833,3.801305309430663
80000.0,0.016679465114714187,crossfit,fg3_miss,-0.7,-0.7092786585033685,-0.009278658503368509,0.019570014572819833,-0.07580560475868461,-0.08765335049468928,1.0180158712533538,0.0,-0.75,0.11526948782093671,4.85361308998075
80000.0,0.016679465114714187,crossfit,fg2_miss,-0.6,-0.5909803432712055,0.009019656728794456,0.016110893539830282,0.09597891682132821,0.09532766821089236,1.0799446501108236,0.0,-0.75,0.15760440252828556,9.106750347192644
80000.0,0.016679465114714187,crossfit,orb,0.5,0.5615487972391263,0.06154879723912632,0.04848105852437338,0.2400386560634047,0.24038968589329707,1.2050027596753075,0.0,0.75,0.05632670444918529,0.8435487363952092
80000.0,0.016679465114714187,crossfit,tov,-1.0,-0.9852531387236896,0.014746861276310419,0.03377711164542942,0.08331300425503986,0.07327018868983151,1.2288115617815705,0.0,-1.0,0.07942902472483779,1.6570186457186484
