window,window_mid,stat,feature,side_name,coef,se,lo95,hi95
2021-2023,2022.0,3P miss,fg3_miss,offense,-0.2783,0.1125,-0.4988,-0.0578
2024-2026,2025.0,3P miss,fg3_miss,offense,-0.3213,0.1104,-0.5376,-0.1049
1997-1999,1998.0,3PM,fg3m,offense,0.5828,0.2819,0.0303,1.1353
2000-2002,2001.0,3PM,fg3m,offense,1.3698,0.2918,0.7979,1.9417
2003-2005,2004.0,3PM,fg3m,offense,0.8273,0.3097,0.2203,1.4344
2006-2008,2007.0,3PM,fg3m,offense,1.2755,0.2645,0.7571,1.7939
2009-2011,2010.0,3PM,fg3m,offense,0.9534,0.2627,0.4385,1.4683
2012-2014,2013.0,3PM,fg3m,offense,1.249,0.2112,0.8351,1.6628
2015-2017,2016.0,3PM,fg3m,offense,1.3515,0.2051,0.9494,1.7536
2018-2020,2019.0,3PM,fg3m,offense,1.2706,0.194,0.8903,1.6509
2021-2023,2022.0,3PM,fg3m,offense,1.3212,0.1711,0.9858,1.6566
2024-2026,2025.0,3PM,fg3m,offense,1.4994,0.17,1.1661,1.8326
1997-1999,1998.0,FT miss,ft_miss,offense,-0.0709,0.171,-0.4061,0.2644
2000-2002,2001.0,FT miss,ft_miss,offense,-0.2341,0.1783,-0.5836,0.1154
2003-2005,2004.0,FT miss,ft_miss,offense,-0.3208,0.1651,-0.6443,0.0027
2006-2008,2007.0,FT miss,ft_miss,offense,-0.3946,0.1614,-0.7109,-0.0783
2009-2011,2010.0,FT miss,ft_miss,offense,-0.2896,0.177,-0.6365,0.0574
2012-2014,2013.0,FT miss,ft_miss,offense,-0.5464,0.1737,-0.8869,-0.2059
2015-2017,2016.0,FT miss,ft_miss,offense,-0.2084,0.1654,-0.5326,0.1157
2018-2020,2019.0,FT miss,ft_miss,offense,-0.3713,0.2093,-0.7816,0.039
2021-2023,2022.0,FT miss,ft_miss,offense,-0.7874,0.2061,-1.1914,-0.3834
2024-2026,2025.0,FT miss,ft_miss,offense,-0.1545,0.24,-0.6249,0.3158
1997-1999,1998.0,FTM,ftm,offense,0.5545,0.0783,0.401,0.708
2000-2002,2001.0,FTM,ftm,offense,0.6293,0.0795,0.4735,0.785
2003-2005,2004.0,FTM,ftm,offense,0.6512,0.0711,0.5119,0.7906
2006-2008,2007.0,FTM,ftm,offense,0.6339,0.0699,0.497,0.7709
2009-2011,2010.0,FTM,ftm,offense,0.5528,0.0699,0.4158,0.6899
2012-2014,2013.0,FTM,ftm,offense,0.6554,0.0738,0.5106,0.8001
2015-2017,2016.0,FTM,ftm,offense,0.5296,0.0703,0.3919,0.6673
2018-2020,2019.0,FTM,ftm,offense,0.6017,0.0773,0.4501,0.7533
2021-2023,2022.0,FTM,ftm,offense,0.6824,0.075,0.5353,0.8295
2024-2026,2025.0,FTM,ftm,offense,0.714,0.0801,0.5571,0.8709
1997-1999,1998.0,ORB,orb,offense,0.2277,0.1156,0.0011,0.4543
2000-2002,2001.0,ORB,orb,offense,0.426,0.1109,0.2087,0.6433
2003-2005,2004.0,ORB,orb,offense,0.6359,0.1133,0.4138,0.858
2006-2008,2007.0,ORB,orb,offense,0.4987,0.1165,0.2703,0.7271
2009-2011,2010.0,ORB,orb,offense,0.5568,0.1185,0.3246,0.789
2012-2014,2013.0,ORB,orb,offense,0.4629,0.1058,0.2555,0.6704
2015-2017,2016.0,ORB,orb,offense,0.6288,0.1144,0.4045,0.853
2018-2020,2019.0,ORB,orb,offense,0.6842,0.1217,0.4457,0.9227
