side,feature,beta,se,run,window,window_mid,first_season,last_season,lam,label,sign_convention
D,fg2m,0.2070274344901916,0.07904170690025847,gt_zero,1997-1999,1998.0,1997,1999,7113.8,2PM (defense),D flipped: positive = good on both sides
D,fg2_miss,-0.33548197663958435,0.06786514140517065,gt_zero,1997-1999,1998.0,1997,1999,7113.8,2P miss (defense),D flipped: positive = good on both sides
D,ftm,0.07641014001980742,0.07431615803543974,gt_zero,1997-1999,1998.0,1997,1999,7113.8,FTM (defense),D flipped: positive = good on both sides
D,ft_miss,0.01753335172668885,0.1650490321542343,gt_zero,1997-1999,1998.0,1997,1999,7113.8,FT miss (defense),D flipped: positive = good on both sides
D,orb,-0.31695121139922877,0.10343432277693435,gt_zero,1997-1999,1998.0,1997,1999,7113.8,ORB (defense),D flipped: positive = good on both sides
D,drb,0.5555855923239514,0.0663432312822845,gt_zero,1997-1999,1998.0,1997,1999,7113.8,DRB (defense),D flipped: positive = good on both sides
D,ast,0.12863156497527872,0.05742926664269412,gt_zero,1997-1999,1998.0,1997,1999,7113.8,AST (defense),D flipped: positive = good on both sides
D,tov,-0.7109206860328903,0.15655577981138982,gt_zero,1997-1999,1998.0,1997,1999,7113.8,TOV (defense),D flipped: positive = good on both sides
D,stl,1.4191749799279614,0.1790987753446091,gt_zero,1997-1999,1998.0,1997,1999,7113.8,STL (defense),D flipped: positive = good on both sides
D,blk,0.7248992029789909,0.11546375889089358,gt_zero,1997-1999,1998.0,1997,1999,7113.8,BLK (defense),D flipped: positive = good on both sides
D,pf,0.26329602485108183,0.07620544583792814,gt_zero,1997-1999,1998.0,1997,1999,7113.8,PF (defense),D flipped: positive = good on both sides
O,fg3m,0.5108296767082414,0.20563646428891458,margin_bins,1997-1999,1998.0,1997,1999,7113.8,3PM (offense),D flipped: positive = good on both sides
O,fg3_miss,0.23622780596410237,0.12246325834206988,margin_bins,1997-1999,1998.0,1997,1999,7113.8,3P miss (offense),D flipped: positive = good on both sides
