window,window_mid,feature_i,feature_j,corr,sd_i
2000-2002,2001.0,orb,orb,1.0,1.5807
2000-2002,2001.0,orb,drb,0.7545,1.5807
2000-2002,2001.0,orb,ast,-0.6092,1.5807
2000-2002,2001.0,orb,tov,-0.0979,1.5807
2000-2002,2001.0,orb,stl,-0.3275,1.5807
2000-2002,2001.0,orb,blk,0.6456,1.5807
2000-2002,2001.0,orb,pf,0.5394,1.5807
2000-2002,2001.0,drb,fg3m,-0.5072,2.474
2000-2002,2001.0,drb,fg3_miss,-0.5359,2.474
2000-2002,2001.0,drb,fg2m,0.2827,2.474
2000-2002,2001.0,drb,fg2_miss,0.1317,2.474
2000-2002,2001.0,drb,ftm,0.176,2.474
2000-2002,2001.0,drb,ft_miss,0.4647,2.474
2000-2002,2001.0,drb,orb,0.7545,2.474
2000-2002,2001.0,drb,drb,1.0,2.474
2000-2002,2001.0,drb,ast,-0.4955,2.474
2000-2002,2001.0,drb,tov,-0.0384,2.474
2000-2002,2001.0,drb,stl,-0.3197,2.474
2000-2002,2001.0,drb,blk,0.6716,2.474
2000-2002,2001.0,drb,pf,0.3428,2.474
2000-2002,2001.0,ast,fg3m,0.3058,2.9631
2000-2002,2001.0,ast,fg3_miss,0.3595,2.9631
2000-2002,2001.0,ast,fg2m,-0.0471,2.9631
2000-2002,2001.0,ast,fg2_miss,0.0143,2.9631
2000-2002,2001.0,ast,ftm,0.0419,2.9631
2000-2002,2001.0,ast,ft_miss,-0.233,2.9631
2000-2002,2001.0,ast,orb,-0.6092,2.9631
2000-2002,2001.0,ast,drb,-0.4955,2.9631
2000-2002,2001.0,ast,ast,1.0,2.9631
2000-2002,2001.0,ast,tov,0.4467,2.9631
2000-2002,2001.0,ast,stl,0.4643,2.9631
2000-2002,2001.0,ast,blk,-0.4789,2.9631
2000-2002,2001.0,ast,pf,-0.4914,2.9631
2000-2002,2001.0,tov,fg3m,-0.0592,0.7841
2000-2002,2001.0,tov,fg3_miss,0.0149,0.7841
2000-2002,2001.0,tov,fg2m,0.4222,0.7841
2000-2002,2001.0,tov,fg2_miss,0.4665,0.7841
2000-2002,2001.0,tov,ftm,0.4966,0.7841
2000-2002,2001.0,tov,ft_miss,0.319,0.7841
2000-2002,2001.0,tov,orb,-0.0979,0.7841
2000-2002,2001.0,tov,drb,-0.0384,0.7841
2000-2002,2001.0,tov,ast,0.4467,0.7841
2000-2002,2001.0,tov,tov,1.0,0.7841
2000-2002,2001.0,tov,stl,0.1592,0.7841
2000-2002,2001.0,tov,blk,-0.0674,0.7841
2000-2002,2001.0,tov,pf,-0.0847,0.7841
2000-2002,2001.0,stl,fg3m,0.2074,0.5268
2000-2002,2001.0,stl,fg3_miss,0.2644,0.5268
2000-2002,2001.0,stl,fg2m,-0.1098,0.5268
2000-2002,2001.0,stl,fg2_miss,-0.0534,0.5268
2000-2002,2001.0,stl,ftm,-0.0067,0.5268
2000-2002,2001.0,stl,ft_miss,-0.1578,0.5268
2000-2002,2001.0,stl,orb,-0.3275,0.5268
2000-2002,2001.0,stl,drb,-0.3197,0.5268
2000-2002,2001.0,stl,ast,0.4643,0.5268
2000-2002,2001.0,stl,tov,0.1592,0.5268
2000-2002,2001.0,stl,stl,1.0,0.5268
2000-2002,2001.0,stl,blk,-0.3218,0.5268
2000-2002,2001.0,stl,pf,-0.2405,0.5268
2000-2002,2001.0,blk,fg3m,-0.4579,1.0795
2000-2002,2001.0,blk,fg3_miss,-0.4818,1.0795
2000-2002,2001.0,blk,fg2m,0.2159,1.0795
2000-2002,2001.0,blk,fg2_miss,0.0579,1.0795
2000-2002,2001.0,blk,ftm,0.1187,1.0795
2000-2002,2001.0,blk,ft_miss,0.5132,1.0795
2000-2002,2001.0,blk,orb,0.6456,1.0795
2000-2002,2001.0,blk,drb,0.6716,1.0795
2000-2002,2001.0,blk,ast,-0.4789,1.0795
2000-2002,2001.0,blk,tov,-0.0674,1.0795
2000-2002,2001.0,blk,stl,-0.3218,1.0795
2000-2002,2001.0,blk,blk,1.0,1.0795
2000-2002,2001.0,blk,pf,0.402,1.0795
2000-2002,2001.0,pf,fg3m,-0.4727,1.5227
2000-2002,2001.0,pf,fg3_miss,-0.4814,1.5227
2000-2002,2001.0,pf,fg2m,-0.1128,1.5227
2000-2002,2001.0,pf,fg2_miss,-0.1206,1.5227
2000-2002,2001.0,pf,ftm,-0.173,1.5227
2000-2002,2001.0,pf,ft_miss,0.198,1.5227
2000-2002,2001.0,pf,orb,0.5394,1.5227
2000-2002,2001.0,pf,drb,0.3428,1.5227
2000-2002,2001.0,pf,ast,-0.4914,1.5227
2000-2002,2001.0,pf,tov,-0.0847,1.5227
2000-2002,2001.0,pf,stl,-0.2405,1.5227
2000-2002,2001.0,pf,blk,0.402,1.5227
2000-2002,2001.0,pf,pf,1.0,1.5227
2003-2005,2004.0,fg3m,fg3m,1.0,1.0996
2003-2005,2004.0,fg3m,fg3_miss,0.9638,1.0996
2003-2005,2004.0,fg3m,fg2m,-0.3421,1.0996
2003-2005,2004.0,fg3m,fg2_miss,-0.2596,1.0996
2003-2005,2004.0,fg3m,ftm,-0.0671,1.0996
2003-2005,2004.0,fg3m,ft_miss,-0.4077,1.0996
2003-2005,2004.0,fg3m,orb,-0.6527,1.0996
2003-2005,2004.0,fg3m,drb,-0.4683,1.0996
2003-2005,2004.0,fg3m,ast,0.3347,1.0996
2003-2005,2004.0,fg3m,tov,-0.0419,1.0996
2003-2005,2004.0,fg3m,stl,0.2243,1.0996
2003-2005,2004.0,fg3m,blk,-0.4644,1.0996
2003-2005,2004.0,fg3m,pf,-0.4799,1.0996
2003-2005,2004.0,fg3_miss,fg3m,0.9638,1.868
2003-2005,2004.0,fg3_miss,fg3_miss,1.0,1.868
2003-2005,2004.0,fg3_miss,fg2m,-0.3238,1.868
2003-2005,2004.0,fg3_miss,fg2_miss,-0.2124,1.868
2003-2005,2004.0,fg3_miss,ftm,-0.0458,1.868
2003-2005,2004.0,fg3_miss,ft_miss,-0.3827,1.868
2003-2005,2004.0,fg3_miss,orb,-0.6767,1.868
2003-2005,2004.0,fg3_miss,drb,-0.4992,1.868
2003-2005,2004.0,fg3_miss,ast,0.3853,1.868
2003-2005,2004.0,fg3_miss,tov,0.0334,1.868
2003-2005,2004.0,fg3_miss,stl,0.2797,1.868
2003-2005,2004.0,fg3_miss,blk,-0.4901,1.868
2003-2005,2004.0,fg3_miss,pf,-0.4918,1.868
2003-2005,2004.0,fg2m,fg3m,-0.3421,2.182
2003-2005,2004.0,fg2m,fg3_miss,-0.3238,2.182
2003-2005,2004.0,fg2m,fg2m,1.0,2.182
2003-2005,2004.0,fg2m,fg2_miss,0.8626,2.182
2003-2005,2004.0,fg2m,ftm,0.651,2.182
2003-2005,2004.0,fg2m,ft_miss,0.5257,2.182
2003-2005,2004.0,fg2m,orb,0.2486,2.182
2003-2005,2004.0,fg2m,drb,0.3243,2.182
2003-2005,2004.0,fg2m,ast,-0.0502,2.182
2003-2005,2004.0,fg2m,tov,0.4231,2.182
2003-2005,2004.0,fg2m,stl,-0.1186,2.182
2003-2005,2004.0,fg2m,blk,0.2146,2.182
2003-2005,2004.0,fg2m,pf,-0.1126,2.182
2003-2005,2004.0,fg2_miss,fg3m,-0.2596,2.3029
2003-2005,2004.0,fg2_miss,fg3_miss,-0.2124,2.3029
2003-2005,2004.0,fg2_miss,fg2m,0.8626,2.3029
2003-2005,2004.0,fg2_miss,fg2_miss,1.0,2.3029
2003-2005,2004.0,fg2_miss,ftm,0.5828,2.3029
2003-2005,2004.0,fg2_miss,ft_miss,0.3643,2.3029
2003-2005,2004.0,fg2_miss,orb,0.0882,2.3029
2003-2005,2004.0,fg2_miss,drb,0.1618,2.3029
2003-2005,2004.0,fg2_miss,ast,0.0399,2.3029
2003-2005,2004.0,fg2_miss,tov,0.4824,2.3029
2003-2005,2004.0,fg2_miss,stl,-0.0414,2.3029
2003-2005,2004.0,fg2_miss,blk,0.0561,2.3029
2003-2005,2004.0,fg2_miss,pf,-0.142,2.3029
2003-2005,2004.0,ftm,fg3m,-0.0671,1.9502
2003-2005,2004.0,ftm,fg3_miss,-0.0458,1.9502
2003-2005,2004.0,ftm,fg2m,0.651,1.9502
2003-2005,2004.0,ftm,fg2_miss,0.5828,1.9502
2003-2005,2004.0,ftm,ftm,1.0,1.9502
2003-2005,2004.0,ftm,ft_miss,0.5125,1.9502
2003-2005,2004.0,ftm,orb,0.0522,1.9502
2003-2005,2004.0,ftm,drb,0.1419,1.9502
2003-2005,2004.0,ftm,ast,0.1122,1.9502
2003-2005,2004.0,ftm,tov,0.5053,1.9502
2003-2005,2004.0,ftm,stl,0.0324,1.9502
2003-2005,2004.0,ftm,blk,0.0508,1.9502
2003-2005,2004.0,ftm,pf,-0.2039,1.9502
2003-2005,2004.0,ft_miss,fg3m,-0.4077,0.7749
2003-2005,2004.0,ft_miss,fg3_miss,-0.3827,0.7749
2003-2005,2004.0,ft_miss,fg2m,0.5257,0.7749
2003-2005,2004.0,ft_miss,fg2_miss,0.3643,0.7749
2003-2005,2004.0,ft_miss,ftm,0.5125,0.7749
2003-2005,2004.0,ft_miss,ft_miss,1.0,0.7749
2003-2005,2004.0,ft_miss,orb,0.4858,0.7749
2003-2005,2004.0,ft_miss,drb,0.4329,0.7749
2003-2005,2004.0,ft_miss,ast,-0.1873,0.7749
2003-2005,2004.0,ft_miss,tov,0.3584,0.7749
2003-2005,2004.0,ft_miss,stl,-0.0938,0.7749
2003-2005,2004.0,ft_miss,blk,0.4498,0.7749
2003-2005,2004.0,ft_miss,pf,0.1668,0.7749
2003-2005,2004.0,orb,fg3m,-0.6527,1.6034
2003-2005,2004.0,orb,fg3_miss,-0.6767,1.6034
2003-2005,2004.0,orb,fg2m,0.2486,1.6034
2003-2005,2004.0,orb,fg2_miss,0.0882,1.6034
2003-2005,2004.0,orb,ftm,0.0522,1.6034
2003-2005,2004.0,orb,ft_miss,0.4858,1.6034
2003-2005,2004.0,orb,orb,1.0,1.6034
2003-2005,2004.0,orb,drb,0.7491,1.6034
2003-2005,2004.0,orb,ast,-0.6239,1.6034
2003-2005,2004.0,orb,tov,-0.1341,1.6034
2003-2005,2004.0,orb,stl,-0.314,1.6034
2003-2005,2004.0,orb,blk,0.6454,1.6034
2003-2005,2004.0,orb,pf,0.5373,1.6034
2003-2005,2004.0,drb,fg3m,-0.4683,2.3984
2003-2005,2004.0,drb,fg3_miss,-0.4992,2.3984
2003-2005,2004.0,drb,fg2m,0.3243,2.3984
2003-2005,2004.0,drb,fg2_miss,0.1618,2.3984
2003-2005,2004.0,drb,ftm,0.1419,2.3984
2003-2005,2004.0,drb,ft_miss,0.4329,2.3984
2003-2005,2004.0,drb,orb,0.7491,2.3984
2003-2005,2004.0,drb,drb,1.0,2.3984
2003-2005,2004.0,drb,ast,-0.4869,2.3984
2003-2005,2004.0,drb,tov,-0.0686,2.3984
2003-2005,2004.0,drb,stl,-0.2485,2.3984
