lam,ratio,c,corr_total,corr_off,corr_def
580.8382443681718,0.5,0.7,0.5209428347338552,0.5158612707938415,0.5121679447714796
580.8382443681718,0.5,0.8,0.534777719717269,0.5337544912557582,0.5258346403475919
580.8382443681718,0.5,0.9,0.5454632644130648,0.5478884985441397,0.5369715683182014
580.8382443681718,0.5,1.0,0.5535732913736287,0.5590802027107888,0.5459541179388249
580.8382443681718,0.5,1.1,0.5596079628221172,0.5679736807647395,0.5531245722951293
580.8382443681718,1.0,0.4,0.4592780136976295,0.42833130052937274,0.46271369206015234
580.8382443681718,1.0,0.5,0.4862124999089541,0.4643084597449767,0.48677626771932136
580.8382443681718,1.0,0.6,0.5078859570449641,0.4929883757414689,0.5067255388975969
580.8382443681718,1.0,0.7,0.5249625898396031,0.515687675899559,0.5230116219281923
580.8382443681718,1.0,0.8,0.5381641784274072,0.5336066360837359,0.5361262069944315
580.8382443681718,1.0,0.9,0.5481846756274181,0.5477588249876489,0.5465536401008352
580.8382443681718,1.0,1.0,0.5556439038995659,0.558963446644419,0.5547411747391781
580.8382443681718,1.0,1.1,0.5610696990885288,0.5678662176433569,0.5610843043931235
758.2484062734396,0.1,0.4,0.4525389456768052,0.4387266420010312,0.44239346194790724
758.2484062734396,0.1,0.5,0.4794775784792638,0.47421193939371975,0.4652682979918552
758.2484062734396,0.1,0.6,0.5016375095150493,0.5021342805282774,0.4849070874196029
758.2484062734396,0.1,0.7,0.5195114962134679,0.5239666275846148,0.501564453703249
758.2484062734396,0.1,0.8,0.5336763229501134,0.5410081856215712,0.5155432829199915
758.2484062734396,0.1,0.9,0.5447171301035069,0.5543278513679061,0.5271633450310241
758.2484062734396,0.1,1.0,0.5531799474319999,0.5647712789040532,0.5367387049310177
758.2484062734396,0.1,1.1,0.5595475259127128,0.5729932341204143,0.5445632692597555
758.2484062734396,0.18,0.4,0.4544072041659439,0.4386100452983167,0.4453821765128217
758.2484062734396,0.18,0.5,0.4813654200941906,0.47412607529458256,0.4684741858762245
758.2484062734396,0.18,0.6,0.5034466231612083,0.5020702460693091,0.48820836771943715
758.2484062734396,0.18,0.7,0.5211748022153037,0.5239176550758095,0.5048622156218804
758.2484062734396,0.18,0.8,0.5351543789027198,0.5409694084059583,0.5187619590690498
758.2484062734396,0.18,0.9,0.5459921960067707,0.554295888762849,0.5302487748291388
758.2484062734396,0.18,1.0,0.5542497662594099,0.5647438328617742,0.5396549394306194
758.2484062734396,0.18,1.1,0.560419930717679,0.5729687641252327,0.5472889837984128
758.2484062734396,0.2872,0.4,0.4565837143604457,0.4384828610982813,0.4490356418916376
758.2484062734396,0.2872,0.5,0.4835487320592224,0.47402972917006925,0.47237410460000123
758.2484062734396,0.2872,0.6,0.5055191651008958,0.5019958481615354,0.4922014490089464
