pool,window,side,feature,coef,se,delta,delta_se,coef_playoff,se_playoff,n_po_rows,lam_delta,side_name,stat,delta_z,sign_convention
era_third,2007-2016,Total,fg2_miss,-0.7891,0.083,-0.0626,0.0865,-0.8516,0.1171,46862,1000000.0,total,2P miss,-0.7236,positive = good on both sides; total = offense + defense
era_third,2007-2016,Total,ftm,0.7568,0.0727,-0.0132,0.0868,0.7436,0.1096,46862,1000000.0,total,FTM,-0.1524,positive = good on both sides; total = offense + defense
era_third,2007-2016,Total,ft_miss,-0.7706,0.1661,-0.0571,0.1047,-0.8277,0.1932,46862,1000000.0,total,FT miss,-0.545,positive = good on both sides; total = offense + defense
era_third,2007-2016,Total,orb,0.3484,0.1134,0.0359,0.1022,0.3843,0.1491,46862,1000000.0,total,ORB,0.351,positive = good on both sides; total = offense + defense
era_third,2007-2016,Total,drb,0.5127,0.06,0.0468,0.0895,0.5595,0.1038,46862,1000000.0,total,DRB,0.5227,positive = good on both sides; total = offense + defense
era_third,2007-2016,Total,ast,0.6805,0.0585,0.0248,0.0822,0.7052,0.0971,46862,1000000.0,total,AST,0.3016,positive = good on both sides; total = offense + defense
era_third,2007-2016,Total,tov,-1.5909,0.1675,0.0439,0.1056,-1.547,0.1954,46862,1000000.0,total,TOV,0.416,positive = good on both sides; total = offense + defense
era_third,2007-2016,Total,stl,2.2065,0.1846,-0.011,0.108,2.1956,0.2107,46862,1000000.0,total,STL,-0.1015,positive = good on both sides; total = offense + defense
era_third,2007-2016,Total,blk,0.578,0.1256,0.0342,0.1058,0.6122,0.1606,46862,1000000.0,total,BLK,0.3235,positive = good on both sides; total = offense + defense
era_third,2007-2016,Total,pf,-0.1051,0.0819,-0.0292,0.0984,-0.1344,0.1247,46862,1000000.0,total,PF,-0.2971,positive = good on both sides; total = offense + defense
era_third,2017-2026,O,fg3m,1.4862,0.1266,0.7441,0.4554,2.2303,0.4557,48185,100.0,offense,3PM,1.6342,positive = good on both sides; total = offense + defense
era_third,2017-2026,O,fg3_miss,-0.2986,0.0811,-0.4518,0.2898,-0.7504,0.2908,48185,100.0,offense,3P miss,-1.5587,positive = good on both sides; total = offense + defense
era_third,2017-2026,O,fg2m,0.7118,0.0585,-0.1451,0.177,0.5667,0.1785,48185,100.0,offense,2PM,-0.8202,positive = good on both sides; total = offense + defense
era_third,2017-2026,O,fg2_miss,-0.5667,0.0588,0.0403,0.1762,-0.5264,0.1786,48185,100.0,offense,2P miss,0.2289,positive = good on both sides; total = offense + defense
era_third,2017-2026,O,ftm,0.6306,0.0509,-0.1265,0.1318,0.504,0.1337,48185,100.0,offense,FTM,-0.9602,positive = good on both sides; total = offense + defense
era_third,2017-2026,O,ft_miss,-0.4965,0.1461,-0.4652,0.4266,-0.9617,0.4308,48185,100.0,offense,FT miss,-1.0904,positive = good on both sides; total = offense + defense
